Year,Fatalities
1908,1.0
1912,5.0
1913,15.0
1915,20.0
1916,21.6
1917,20.666666666666668
1918,16.25
1919,1.0
1920,1.411764705882353
1921,5.230769230769231
1922,7.2727272727272725
1923,6.416666666666667
1924,2.5714285714285716
1925,3.5454545454545454
1926,2.5
1927,2.5714285714285716
1928,3.3513513513513513
1929,3.2162162162162162
1930,5.75
1931,2.9375
1932,2.6785714285714284
1933,7.384615384615385
1934,4.344827586206897
1935,6.457142857142857
1936,5.404761904761905
1937,7.518518518518518
1938,8.117647058823529
1939,5.923076923076923
1940,9.941176470588236
1941,10.904761904761905
1942,12.964285714285714
1943,16.46153846153846
1944,13.065217391304348
1945,19.043478260869566
1946,16.531645569620252
1947,16.223684210526315
1948,15.720588235294118
1949,18.083333333333332
1950,21.936507936507937
1951,16.89855072463768
1952,19.672131147540984
1953,19.161290322580644
1954,16.491525423728813
1955,16.615384615384617
1956,19.392156862745097
1957,17.614035087719298
1958,20.419354838709676
1959,17.116666666666667
1960,25.241935483870968
1961,27.134615384615383
1962,28.041095890410958
1963,22.46551724137931
1964,19.6231884057971
1965,23.71014492753623
1966,22.594202898550726
1967,19.65934065934066
1968,22.458333333333332
1969,21.9390243902439
1970,23.551724137931036
1971,28.83582089552239
1972,28.240384615384617
1973,27.921348314606742
1974,28.26829268292683
1975,21.85333333333333
1976,23.941860465116278
1977,26.395061728395063
1978,20.233766233766232
1979,22.59550561797753
1980,28.107692307692307
1981,18.636363636363637
1982,25.52857142857143
1983,26.40983606557377
1984,18.892307692307693
1985,36.08108108108108
1986,22.984375
1987,23.14864864864865
1988,24.50602409638554
1989,24.13684210526316
1990,18.22222222222222
1991,20.897727272727273
1992,24.674418604651162
1993,23.402985074626866
1994,21.563218390804597
1995,20.164556962025316
1996,29.45679012345679
1997,24.602941176470587
1998,22.3768115942029
1999,12.435897435897436
2000,19.053333333333335
2001,19.97142857142857
2002,19.16
2003,20.918032786885245
2004,11.934426229508198
2005,25.607843137254903
2006,23.183673469387756
2007,17.24074074074074
2008,13.225806451612904
2009,24.208333333333332
