,Operator,Fatalities
0,A B Aerotransport,3.0
1,AB Aerotransport,58.0
2,ACES Colombia,40.0
3,ADC Airlines,97.0
4,ADES Colombia,22.0
5,AECA Cargo,4.0
6,AIDA,14.0
7,AIRES Colombia,27.0
8,ALADA,16.0
9,ALFA,18.0
10,ALIANSA Colombia,8.0
11,ANDESA,30.0
12,ANT Air Taxi,5.0
13,APRL,11.0
14,AREA,69.0
15,ARTOP Aerotopografica LDA,36.0
16,ATESA,5.0
17,ATI,6.0
18,ATI Aircompany,8.0
19,AV Air / American Eagle,12.0
20,AVCOM,2.0
21,AVENSA,2.0
22,AVIANCA,941.0
23,AVIANCA / AVIANCA,38.0
24,AVISPA,40.0
25,AZAL Cargo Company,7.0
26,Aaxico Airlines,9.0
27,Ababeel Aviaition,4.0
28,Abakan Airlines,3.0
29,Aca-Ancargo,44.0
30,Ace Flying Service,2.0
31,Acme Air,2.0
32,Action Air Express Inc. - Air Taxi,2.0
33,Action Airlines,8.0
34,Adam Air,102.0
35,Aden Airways,45.0
36,Advance Airlines,13.0
37,Adventure Airlines,18.0
38,Aegler Stuart Flying Service  / Private,4.0
39,Aer Lingus,87.0
40,Aer Turas,2.0
41,Aeralpi,4.0
42,Aerevias Centrales Air Service,1.0
43,Aerial Transit Company,3.0
44,Aero Air,3.0
45,Aero Asahi,10.0
46,Aero Cargo,1.0
47,Aero Club Libya,14.0
48,Aero Clube de Volta Redonda,4.0
49,Aero Condor,10.0
50,Aero Cozumel,6.0
51,Aero Ejecutivos,3.0
52,Aero Eslava,4.0
53,Aero Ferinco Charter,19.0
54,Aero France,11.0
55,Aero Holland,34.0
56,Aero Jet Express,4.0
57,Aero Lloyd,5.0
58,Aero Mayflower Transit Co,3.0
59,Aero National - Air Taxi,4.0
60,Aero O-Y,27.0
61,Aero PaLease - Air Taxi,2.0
62,Aero Pantanal - Air Taxi,6.0
63,Aero Peru,12.0
64,Aero Sudpacifico,9.0
65,Aero Taxis Equatorianos,22.0
66,Aero Transportes,8.0
67,Aero Transporti Italiani,114.0
68,Aero Tropical,8.0
69,Aero-Tropics,15.0
70,Aerocalifornia,21.0
71,Aerocaribbean - Charter,34.0
72,Aerocaribe,20.0
73,Aerochasqui,15.0
74,Aerocom,7.0
75,Aerocondor,5.0
76,Aerocondor de Colombia,17.0
77,Aerocontroctors - Charter,3.0
78,Aerocord,9.0
79,Aerocosta Colombia,2.0
80,Aeroejecutivos Colombia,2.0
81,Aeroespresso,2.0
82,Aeroextra,3.0
83,Aeroflite Services,2.0
84,Aeroflot,7156.0
85,Aeroflot / Aeroflot,279.0
86,Aeroflot / Military - Russian Air Force,31.0
87,Aeroflot / Soviet Air Force,76.0
88,Aeroflot /Military - Russian,33.0
89,Aeroflot Russian International Airways,75.0
90,Aerogulf,7.0
91,Aerolatino (Aerocaribe),1.0
92,Aeroleasing - Air Taxi,5.0
93,Aeroleo Taxi Aereo,11.0
94,Aerolift,16.0
95,Aerolift Philippines,21.0
96,Aerolineas Abaroa,21.0
97,Aerolineas Argentinas,341.0
98,Aerolineas Argo,5.0
99,Aerolineas Centrales de Colombia,45.0
100,Aerolineas Condor,44.0
101,Aerolineas Cuahonte,9.0
102,Aerolineas El Salvador,2.0
103,Aerolineas Flecha Austral,8.0
104,Aerolineas La Gaviola,9.0
105,Aerolineas La Paz,5.0
106,Aerolineas Litoral Argentina,28.0
107,Aerolineas Nacionales,60.0
108,Aerolineas TAO,94.0
109,Aeromexico,75.0
110,Aeromexico / Private,67.0
111,Aeromist-Kharkiv,44.0
112,Aeronautical Services - Air Taxi,3.0
113,Aeronaves de Mexico,76.0
114,Aeronaves de Panama,6.0
115,Aeronaves del Peru,3.0
116,Aeronica,31.0
117,Aeronor Chile,46.0
118,Aeronorte,9.0
119,Aeronorte Colombia,6.0
120,Aeropeca,18.0
121,Aeroperlas,30.0
122,Aeroperu,76.0
123,Aeropesca Colombia,79.0
124,Aeropol,3.0
125,Aeropostale,52.0
126,Aeropostale - La Tecoere Company,6.0
127,Aeroput,8.0
128,Aeroservice International,2.0
129,Aeroservice S de RL,6.0
130,Aeroservicios Empresariales de Durango,16.0
131,Aerosucre Colombia,16.0
132,Aerosweet Airlines (LVOV),70.0
133,Aerotaca,13.0
134,Aerotaxi Manaus,24.0
135,Aerotechnia,7.0
136,Aerotransportes Petroleros,3.0
137,Aerotuy airline,1.0
138,Aerovalles,6.0
